umls_cui,kg_disease_id
C0261486,
C0041343,
C0472476,
C3872606,
C0027662,MONDO_0017169
C0243001,
C0011633,MONDO_0016367
C0600177,
C2363973,
C0035455,MONDO_0003014
C0358514,
C0029878,MONDO_0004795
C0520767,
C0030809,MONDO_0008219
C0002915,
C0013395,MONDO_0002268
C0007947,MONDO_0001797
C4721444,
C0016719,MONDO_0100339
C0020428,MONDO_0003009
C3536984,
C0007194,MONDO_0005045
C0032302,MONDO_0005867
C0039841,
C0678222,MONDO_0004989
C0149893,
C0026987,MONDO_0044903
C0002986,MONDO_0010526
C0024110,MONDO_0000744
C0203668,
C0275966,
C0275665,
C0154731,MONDO_0016372
C0272325,MONDO_0035735
C0149925,MONDO_0008433
C0259799,
C0546999,MONDO_0018500
C0162627,
C2215257,
C0039614,MONDO_0005526
C0001080,MONDO_0007037
C0085437,MONDO_0006670
C0030636,MONDO_0005901
C0268243,MONDO_0011871
C0235952,
C0003175,MONDO_0005119
C2349276,
C1275317,
C0007117,MONDO_0020804
C0020676,MONDO_0005420
C0042998,MONDO_0007019
C0013338,MONDO_0006909
C0014547,MONDO_0005384
C0339498,MONDO_0041093
C3714758,MONDO_0019436
C0003872,MONDO_0011849
C0031190,MONDO_0022430
C0003862,
C0018133,MONDO_0013730
C0036285,MONDO_0005952
C0080274,
C0021361,MONDO_0021124
C0406326,
C0339968,
C3662038,
C0030758,MONDO_0003482
C0421162,
C1282509,
C2959527,
C0015967,
C0039685,MONDO_0008542
C0191569,
C1532514,
C0342527,
C0079159,
C1510471,MONDO_0024298
C0001139,MONDO_0006635
C1321482,
C0018916,MONDO_0006500
C0016867,MONDO_0100595
C1288351,
C0856825,MONDO_0020546
C1704231,MONDO_0700219
C0272230,
C0036323,MONDO_0015254
C0149871,
C0033246,MONDO_0005538
C0175683,MONDO_0015991
C0524702,
C1761609,MONDO_0002572
C0013595,
C0156677,
C0730285,MONDO_0004728
C1960639,
C0948245,MONDO_0600008
C0085280,MONDO_0007318
C0152515,
C0004030,MONDO_0005657
C0019202,MONDO_0010200
C0032269,MONDO_0005114
C0275555,
C0580182,
C002669 ,
C0006267,MONDO_0004822
C0339959,MONDO_0025598
C0155213,MONDO_0001334
C0015397,MONDO_0005328
C0302592,MONDO_0005131
C0009443,MONDO_0005709
C0585442,MONDO_0002629
C0030567,MONDO_0005180
C0002921,
C0022575,MONDO_0000948
C1319317,MONDO_0000536
C0085697,MONDO_0001110
C3537005,
C1827687,
C0686510,
C0004245,MONDO_0000465
C2931788,MONDO_0016244
C0349650,
C0405580,MONDO_0000004
C0006413,MONDO_0007243
C1318543,MONDO_0002522
C0014013,MONDO_0018667
C0043388,MONDO_0006019
C0036337,MONDO_0005487
C0042974,MONDO_0024574
C4544822,
C0036983,
C0085423,MONDO_0021678
C0025874,
C0392618,
C0154246,MONDO_0004739
C0022073,MONDO_0004773
C0020598,
C0349649,MONDO_0006277
C0039131,MONDO_0005714
C1261473,MONDO_0005089
C4543747,
C0019829,MONDO_0009348
C0040425,
C0034065,MONDO_0005279
C0020179,MONDO_0007739
C0423778,
C0013404,
C0334102,
C0041228,MONDO_0005459
C0412694,
C3164390,
C1134719,
C0029001,MONDO_0017137
C0085074,MONDO_0006554
C2347126,MONDO_0019124
C0268242,MONDO_0009756
C0019151,MONDO_0001711
C0153594,MONDO_0005447
C1619727,
C0013264,MONDO_0010679
C0043037,
C2585890,
C0474368,
C4744565,
C0032064,MONDO_0019095
C1306835,
C0011974,
C0153289,
C4750718,MONDO_0010396
C0400968,
C0023465,MONDO_0007896
C0175816,MONDO_0016450
C0008728,MONDO_0015943
C0036130,MONDO_0003619
C0018021,MONDO_0005397
C0001263,
C0023646,MONDO_0006572
